"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","DeltaAICc","cat_type","area"
"1",1,"Distance",29845.9158992367,29846.0041345309,0.476063706691969,1.113,0.000235728782290622,-14920.9579496184,1.09515073825517,894,89.4,2,NA,NA,0,"SC","westhoek"
"2",2,"beach",29847.9158992367,29848.0936770145,0.167466015984282,2.715,0.000235728782296933,-14920.9579496184,1.09515073825503,0,0,3,1,2500,2.08954248360169,"SC","westhoek"
"3",3,"urban",29849.0460674619,29849.2238452397,0.110739493699268,3.609,0.000235983035485465,-14921.523033731,1.09522042689499,10,1,3,2500,1,3.21971070879954,"SC","westhoek"
"4",4,"fixed",29849.8178419117,29849.9956196895,0.0960001233537739,4.145,0.000318227981484951,-14921.9089209558,1.09525269368573,37,3.7,3,2500,1,3.99148515859997,"SC","westhoek"
"5",5,"scrub",29850.2984594276,29850.4762372054,0.0737542380843536,4.562,0.00633807662779781,-14922.1492297138,1.09529008958479,13,1.3,3,1,2500,4.47210267449918,"SC","westhoek"
"6",6,"opend",29851.0781836379,29851.2559614156,0.0759764221863535,4.856,0.000143662471776477,-14922.5390918189,1.09533084375361,46,4.6,3,2500,1,5.25182688470159,"SC","westhoek"
"7",1,"Distance",1496.19866497885,1496.6431094233,0.31241678641525,1.377,0.000511180820477162,-746.099332489426,1.13960230097606,647,64.7,2,NA,NA,0,"SC","cabour"
"8",2,"agric",1496.75457515133,1497.67765207441,0.214652467849713,2.571,0.0275677644476817,-745.377287575664,1.13953057818051,311,31.1,3,1,2500,1.03454265110986,"SC","cabour"
"9",3,"opend",1498.04722856617,1498.97030548925,0.103843950088509,4.469,0.00195616000579567,-746.023614283086,1.13930099262961,28,2.8,3,1,2500,2.32719606594992,"SC","cabour"
"10",4,"fixed",1498.13953895478,1499.06261587786,0.0980234683642979,4.721,0.000910289288294226,-746.069769477392,1.13942795033769,14,1.4,3,1,2500,2.41950645455995,"SC","cabour"
"11",5,"water",1498.19887692771,1499.12195385079,0.0904592867903808,4.897,0.000510978645692765,-746.099438463855,1.13960269292326,0,0,3,1,2500,2.47884442749,"SC","cabour"
"12",6,"scrub",1498.20228081251,1499.12535773559,0.0902530348325817,4.948,0.000511886225076985,-746.101140406256,1.13961003248537,0,0,3,1,2500,2.48224831228981,"SC","cabour"
"13",7,"urban",1498.20101852228,1499.12409544536,0.090351005659268,5.017,0.000510569652645966,-746.100509261141,1.13960573505458,0,0,3,1,2500,2.48098602205982,"SC","cabour"
"14",1,"Distance",9932.38635618428,9932.54635618428,0.231186154624197,1.646,0.000181611200308991,-4964.19317809214,1.17540506899408,424,42.4,2,NA,NA,0.108819428860443,"SC","doornpanne"
"15",2,"fixed",9932.1132124311,9932.43753675542,0.28020186051096,1.89,0.000896658964785921,-4963.05660621555,1.17496973245039,470,47,3,2500,1,0,"SC","doornpanne"
"16",3,"opend",9934.11613484601,9934.44045917034,0.117507555415138,4.071,0.00112801080365103,-4964.05806742301,1.1753561573605,94,9.4,3,1,2500,2.00292241492025,"SC","doornpanne"
"17",4,"agric",9934.38635618428,9934.71068050861,0.0783402162000005,4.404,0.000181611200308991,-4964.19317809214,1.17540506899408,0,0,3,1,2500,2.27314375318929,"SC","doornpanne"
"18",5,"beach",9934.38635618428,9934.71068050861,0.0783402162000005,4.404,0.000181611200308991,-4964.19317809214,1.17540506899408,0,0,3,1,2500,2.27314375318929,"SC","doornpanne"
"19",6,"water",9934.40000681891,9934.72433114324,0.0778497187241838,4.824,0.000179309745203238,-4964.20000340946,1.17540798868982,0,0,3,1,2500,2.2867943878191,"SC","doornpanne"
"20",7,"urban",9934.91598640475,9935.24031072907,0.0722064572804694,5.424,0.000144008058420207,-4964.45799320237,1.17551729590102,12,1.2,3,1,2500,2.80277397364989,"SC","doornpanne"
"21",8,"scrub",9935.00152783789,9935.32585216221,0.0643678210450508,5.741,0.000125117805343223,-4964.50076391894,1.17554005562927,0,0,3,2500,1,2.88831540678984,"SC","doornpanne"
"22",1,"Distance",16505.839094323,16505.9603064443,0.299433605142891,1.055,0.000105449843539823,-8250.91954716152,1.13084161876923,945,94.5,2,NA,NA,0,"SC","teryde"
"23",2,"scrub",16507.8029371006,16508.0478350598,0.109886040523518,4.044,9.08386432815285e-05,-8250.90146855032,1.13082735376552,14,1.4,3,2500,1,2.08752861549874,"SC","teryde"
"24",3,"agric",16507.839094323,16508.0839922822,0.103549503011527,4.115,0.000105449843493204,-8250.91954716152,1.13084161876911,0,0,3,1,2500,2.12368583790158,"SC","teryde"
"25",4,"beach",16507.839094323,16508.0839922822,0.103549503011525,4.117,0.000105449843539823,-8250.91954716152,1.13084161876923,0,0,3,1,2500,2.12368583790158,"SC","teryde"
"26",5,"water",16507.839094323,16508.0839922822,0.103549503011518,4.121,0.00010544984302912,-8250.91954716152,1.13084161876898,0,0,3,0.999999999999545,2500,2.12368583790158,"SC","teryde"
"27",6,"fixed",16508.2518474656,16508.4967454248,0.100055632369984,4.41,0.000521169928323662,-8251.1259237328,1.13090025765126,27,2.7,3,1,2500,2.53643898049995,"SC","teryde"
"28",7,"opend",16508.2205408781,16508.4654388372,0.0915636289139699,4.738,0.00011551119121795,-8251.11027043903,1.13087840999289,6,0.6,3,2500,1,2.50513239290012,"SC","teryde"
"29",8,"urban",16508.3543952777,16508.5992932369,0.0884125840150669,4.982,0.00010033290035253,-8251.17719763886,1.13087709160914,8,0.8,3,2500,1,2.63898679260092,"SC","teryde"
